timesteps,target_index,elapsed_time,target_x,target_y,target_z,distance,reward,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,valid_side_hit,whip_target_contact
40000,0,0.68,1.1,-0.45,0.8,1.6999067366703398,2.247170777413782,-1.3419706436769905,-2.048806396535444,0.29738209419818024,-0.36940809979133,-2.0703855458125,0.9312285753032385,0,0
40000,0,0.6900000000000001,1.1,-0.45,0.8,1.6880802749582449,2.2892699346813594,-1.359216249208945,-2.030105641221806,0.2672016740539715,-0.37691090396384364,-2.0958070114958796,0.9177084519362882,0,0
40000,0,0.7000000000000001,1.1,-0.45,0.8,1.6759877482512031,2.346965036755657,-1.3749743736656095,-2.010067321508372,0.23733482413212667,-0.3844158075789667,-2.122309785341035,0.9051984281981358,0,0
40000,0,0.71,1.1,-0.45,0.8,1.6637448021849146,2.375562198020885,-1.3895891766617163,-1.988870031379406,0.20771836928926649,-0.3917104177609974,-2.149840319516797,0.8939336824120532,0,0
40000,0,0.72,1.1,-0.45,0.8,1.650974821294023,2.4829708926756506,-1.4034476456300788,-1.9667752458000287,0.17833747254815646,-0.3987731818353467,-2.1783498056621324,0.8842503109512757,0,0
40000,0,0.73,1.1,-0.45,0.8,1.6379952472214916,2.5272489386259327,-1.416736809044044,-1.9440816167382322,0.14916366695523547,-0.405402398811472,-2.2077938884243475,0.8763898838610596,0,0
40000,0,0.74,1.1,-0.45,0.8,1.6243062357652696,2.681809402899791,-1.429648974151819,-1.9212009481777481,0.12008452467148362,-0.4113588665195293,-2.2380553173032833,0.8705739261194886,0,0
40000,0,0.75,1.1,-0.45,0.8,1.6100950393042046,2.7918242556887627,-1.4422683348285201,-1.8985869809285942,0.09099970958862784,-0.41647399098926974,-2.2690606864757275,0.8669497999839906,0,0
40000,0,0.76,1.1,-0.45,0.8,1.595738758992378,2.8203397786733544,-1.4547881819022792,-1.8767090875910393,0.061809633379703875,-0.42054879866170436,-2.3006706909979333,0.8655148963731651,0,0
40000,0,0.77,1.1,-0.45,0.8,1.5804518060598964,3.0195872211548327,-1.467326847910276,-1.855914616482312,0.032417450384257945,-0.4235269394708241,-2.332758866152457,0.8666251911986206,0,0
40000,0,0.78,1.1,-0.45,0.8,1.564390998748301,3.1829927447597277,-1.4797312042164397,-1.8363848578467399,0.002835285636756634,-0.4251137711203448,-2.3651801004498503,0.8699205826153783,0,0
40000,0,0.79,1.1,-0.45,0.8,1.547798988995519,3.294986552665937,-1.4919054317817604,-1.8182487642817073,-0.026917470896532125,-0.42509894535705267,-2.3976244227986543,0.8752202709390108,0,0
40000,0,0.8,1.1,-0.45,0.8,1.5307381914326827,3.39393695782653,-1.503886758372716,-1.8015895391038907,-0.056920279086121656,-0.4234350107751825,-2.4298075290687127,0.8825368659757132,0,0
40000,0,0.81,1.1,-0.45,0.8,1.5133619625973795,3.45755360355163,-1.5154491451482672,-1.7864224443650873,-0.087222790382846,-0.42008352178751135,-2.461667848863814,0.8917284290565158,0,0
40000,0,0.8200000000000001,1.1,-0.45,0.8,1.4957453141858288,3.5082980806107145,-1.5265007990886268,-1.7727512171661626,-0.11792346711043147,-0.41499888750763003,-2.4930741525610496,0.9025902166789915,0,0
40000,0,0.8300000000000001,1.1,-0.45,0.8,1.4779987149346259,3.534707831545714,-1.5370771399721763,-1.7604596291477146,-0.1491322775924395,-0.4083501170077672,-2.5240686985918237,0.9150032450729735,0,0
40000,0,0.84,1.1,-0.45,0.8,1.4601644643376839,3.5521659742375493,-1.547062966697788,-1.7493395443800994,-0.18085687559559918,-0.4002429558721814,-2.5545635984717365,0.9288125435805021,0,0
40000,0,0.85,1.1,-0.45,0.8,1.442057130401758,3.605361561702194,-1.556415544321289,-1.7390493898505597,-0.21318902404645795,-0.3908288957185306,-2.584331029840605,0.9439196739434127,0,0
40000,0,0.86,1.1,-0.45,0.8,1.4238436905836789,3.6327271953968365,-1.5650043390865,-1.7292718290972653,-0.2461381692846975,-0.38029205200934724,-2.6131740905892866,0.9602841242393103,0,0
40000,0,0.87,1.1,-0.45,0.8,1.405052452764494,3.751522137256927,-1.5726521993121954,-1.7197518247479475,-0.27969047029668276,-0.36878080075189046,-2.640806246197407,0.9777114048898167,0,0
40000,0,0.88,1.1,-0.45,0.8,1.3853174784146545,3.9501395908385932,-1.5792156373341675,-1.7103386677561685,-0.3138222391244019,-0.35651062906904246,-2.66700505370471,0.9962978719610215,0,0
40000,0,0.89,1.1,-0.45,0.8,1.3646510335262763,4.148624065863429,-1.5846070610093124,-1.7010722189858494,-0.3484575857308913,-0.3436512558258637,-2.6916239755430134,1.0160195303242574,0,0
40000,0,0.9,1.1,-0.45,0.8,1.3425002905425962,4.458745334977541,-1.5886765657422195,-1.6920823772865718,-0.38350303928742185,-0.3302805525833472,-2.714388657461175,1.036707082245582,0,0
40000,0,0.91,1.1,-0.45,0.8,1.31859039768587,4.833317843819003,-1.5912113069852343,-1.6836945316495133,-0.4187948702716214,-0.31647570995997104,-2.735097101113194,1.0585387910419048,0,0
40000,0,0.92,1.1,-0.45,0.8,1.2927234617613923,5.247925964204897,-1.5920971187369428,-1.6763938292920872,-0.45417532498674196,-0.30220619790432374,-2.7533394876367585,1.0813863201811291,0,0
40000,0,0.93,1.1,-0.45,0.8,1.2647753914511228,5.688008572987906,-1.5912535810601223,-1.6706373272645207,-0.4896257071916835,-0.2874482851655559,-2.7689559637649936,1.1051500617349623,0,0
