elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,terminated,truncated,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
1.01,1.5236906937566315,-1.4918838470845688,1.4128850806430924,0.14930344953958835,-1.9098350523566605,0.33871932296175183,-0.39908177388253374,0,0,1.3283523506557762,0,0,0,0,0
1.02,1.524120073386681,-1.4830243053067833,1.4069168149343676,0.1537865170812609,-1.9082122840264801,0.3432939956346685,-0.38402547146448934,0,0,1.3284053650853846,0,0,0,0,0
1.03,1.5254753058486066,-1.474043457298896,1.4015400081873284,0.1588351123641699,-1.9052588777118422,0.3483326435429573,-0.36453914404118304,0,0,1.3285380923145715,0,0,0,0,0
1.04,1.526830200324835,-1.464660280334823,1.3962543585043057,0.16258019176956082,-1.9027588496924996,0.35394755595620575,-0.3733875261548881,0,0,1.3287012489623415,0,0,0,0,0
1.05,1.5277922490952154,-1.4553649524593113,1.3895748859578865,0.16523433230739668,-1.8997780576359513,0.3598560896415429,-0.35747733940178683,0,0,1.32893487175502,0,0,0,0,0
1.06,1.530101452909582,-1.4459977343434942,1.3827539231392467,0.1669079602233829,-1.8960492806061269,0.3668678759645556,-0.3510058647753128,0,0,1.3291566464580962,0,0,0,0,0
1.07,1.533098586954225,-1.4359737649323328,1.3760409003023633,0.16725837926156742,-1.8923049808712202,0.3742012962158547,-0.3557988629199721,0,0,1.3293192551185526,0,0,0,0,0
1.08,1.5355043597092184,-1.4264024058978222,1.3697587211086772,0.167371002783728,-1.887988489316694,0.3824526478611726,-0.35449837327520517,0,0,1.3293883430228142,0,0,0,0,0
1.09,1.537741636963861,-1.4179684297598922,1.3645760102212308,0.16733595988184333,-1.8838026540841906,0.3901047319937239,-0.3670481180474628,0,0,1.3294800435479985,0,0,0,0,0
1.1,1.538496608111027,-1.410868757853097,1.360357252790427,0.16786551926330345,-1.8786750155481857,0.3982546939416403,-0.7862944498796824,0,0,1.3295887686054284,0,0,0,0,0
1.11,1.5396998499954624,-1.4036116442145663,1.3560647668333328,0.16822625360033755,-1.873481707766317,0.40622459449047765,-0.8000867736799093,0,0,1.329512547789537,0,0,0,0,0
